"COMMON","AVGEXP_YPD","AVGEXP_SD","DM_YPD","DM_YPD_CLASS","DM_SD","AvPromNucOcc","Num_RegTF_YeastractYT","MedPosDM_SD_TFYT","maxDM_TFYT","PosCorTF_YT","NumPosCor_withinTFs","NumNegCor_withinTFs","PercNegCor_withinTFs","PercPosCorWN_OVsites","N_TFSites400","N_TFSites500","N_TFSites600","N_TFSites700","N_TFSites800","N_TFSites900","N_TFSites1000","NumSites","NumOverlaps","RatOverlap.Numsites","NumCoopTF_Yang2010","NumCoopTF_Chen2012","PercCoopTF_Yang2010","Gb_H3K79me3_vsH3","Pugh2004_SAGA_Dominance","Pugh2004_TFIID_Dominance","ORF","location","chr"
"FET3",12.318,12.318,0.164,2,0.164,0.52,58,NA,0.472,12,56,17,29.31,25,3,1,9,4,1,4,3,29,20,0.69,20,32,34.48,0.976,0,1,"YMR058W",388822,13
"FET4",2.591,2.591,0.242,2,0.242,0.43,47,0.597,0.597,4,47,9,19.15,70.21,2,0,1,1,1,3,3,22,35,1.59,5,18,10.64,1.13,0,1,"YMR319C",-912880,13
"FET5",2.109,2.109,0.013,2,0.013,0.74,15,NA,0.018,4,12,0,0,8.33,0,1,1,4,1,1,1,11,2,0.18,2,4,13.33,1.037,0,1,"YFL041W",49139,6
"FHL1",0.444,0.444,-0.073,2,-0.073,0.75,16,NA,0.115,2,5,3,18.75,0,0,1,0,1,2,0,0,5,1,0.2,0,8,0,1.614,NA,NA,"YPR104C",-733623,16
"FHN1",0.806,0.806,0.267,2,0.267,0.7,28,NA,0.21,5,27,5,17.86,14.81,2,1,1,5,2,0,2,14,4,0.29,4,9,14.29,0.327,NA,NA,"YGR131W",754726,7
"FIG4",0.062,0.062,-0.526,3,-0.526,0.74,16,NA,0.115,0,11,0,0,0,2,0,0,1,0,0,2,7,2,0.29,3,10,18.75,0.989,NA,NA,"YNL325C",-28739,14
"FIN1",0.438,0.438,0.022,2,0.022,0.77,16,NA,0.26,1,10,0,0,0,0,0,3,3,2,1,3,13,1,0.08,2,9,12.5,1.3,NA,NA,"YDR130C",-715747,4
"FIP1",1.13,1.13,-0.053,2,-0.053,0.65,12,NA,0.26,2,5,0,0,0,0,0,4,0,0,0,1,6,0,0,2,6,16.67,1.735,NA,NA,"YJR093C",-603220,10
"FIR1",0.521,0.521,0.197,2,0.197,0.79,22,NA,0.251,3,17,1,4.55,23.53,0,1,1,2,0,5,5,14,7,0.5,2,7,9.09,1.726,NA,NA,"YER032W",215063,5
"FIS1",2.199,2.199,-0.102,2,-0.102,0.68,19,1.395,1.395,4,13,0,0,0,0,2,1,2,4,0,2,13,1,0.08,0,9,0,0.498,0,1,"YIL065C",-241308,9
"FIT2",1.699,1.699,0.69,1,0.69,0.68,75,0.996,1.395,18,74,15,20.27,16.22,2,9,2,3,2,4,0,29,13,0.45,34,41,45.33,0.4,NA,NA,"YOR382W",1059531,15
"FIT3",0.4,0.4,0.439,2,0.439,0.78,62,0.597,0.597,8,61,7,11.48,1.64,1,3,1,0,2,0,1,12,2,0.17,25,30,40.32,0.894,NA,NA,"YOR383C",-1060441,15
"FKH1",0.625,0.625,0.268,2,0.268,0.72,17,NA,0.268,1,12,0,0,8.33,2,1,1,1,3,1,0,10,2,0.2,2,5,11.76,1.129,NA,NA,"YIL131C",-100781,9
"FLC1",1.098,1.098,0.107,2,0.107,0.54,36,0.597,0.597,4,36,4,11.11,22.22,2,0,7,2,4,0,0,17,8,0.47,7,17,19.44,1.09,NA,NA,"YPL221W",133043,16
"FLC2",1.221,1.221,0.021,2,0.021,0.57,21,NA,0.26,3,18,3,14.29,55.56,1,1,1,4,2,1,7,19,14,0.74,2,6,9.52,1.198,NA,NA,"YAL053W",45899,1
"FLD1",0.339,0.339,0.116,2,0.116,0.68,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.983,NA,NA,"YLR404W",928743,12
"FLO10",0.221,0.221,-0.128,2,-0.128,0.72,29,0.597,0.597,6,23,4,14.29,4.35,3,0,2,3,0,1,3,13,3,0.23,3,14,10.34,0.675,NA,NA,"YKR102W",646356,11
"FLO5",0.127,0.127,-0.267,2,-0.267,0.77,38,0.597,0.597,6,36,2,5.26,13.89,0,2,5,3,0,2,1,17,8,0.47,12,16,31.58,0.921,NA,NA,"YHR211W",525392,8
"FLO8",0.198,0.198,-0.01,2,-0.01,0.65,20,NA,0.26,3,10,2,10,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1.218,NA,NA,"YER109C",-375215,5
"FLR1",1.472,1.472,0.629,1,0.629,0.74,22,0.597,0.597,5,19,0,0,5.26,1,1,0,3,1,6,2,17,2,0.12,2,10,9.09,1.119,NA,NA,"YBR008C",-252563,2
"FLX1",0.506,0.506,-0.058,2,-0.058,0.71,21,0.597,0.597,1,16,0,0,6.25,3,1,1,1,0,3,1,12,2,0.17,7,6,33.33,0.573,NA,NA,"YIL134W",97395,9
"FMC1",0.834,0.834,-0.049,2,-0.049,0.75,41,NA,0.472,5,40,1,2.44,15,3,3,2,1,3,1,3,20,6,0.3,11,22,26.83,0.965,0,1,"YIL098C",-179772,9
"FMN1",1.086,1.086,-0.08,2,-0.08,0.63,14,NA,0.115,0,10,0,0,0,2,2,0,2,2,2,2,12,0,0,2,9,14.29,0.905,NA,NA,"YDR236C",-935236,4
"FMO1",0.361,0.361,-0.179,2,-0.179,0.77,29,NA,0.472,1,26,4,13.79,11.54,0,1,0,0,3,2,2,14,3,0.21,6,9,20.69,0.393,NA,NA,"YHR176W",454229,8
"FMP10",0.96,0.96,-0.066,2,-0.066,0.77,19,NA,0.26,2,14,0,0,0,2,0,2,1,1,1,1,11,2,0.18,2,14,10.53,0.827,NA,NA,"YER182W",552525,5
"FMP16",0.07,0.07,1.068,1,1.068,0.81,45,NA,0.389,15,39,6,13.33,25.64,2,2,3,4,6,4,4,31,10,0.32,17,22,37.78,0.432,NA,NA,"YDR070C",-588098,4
"FMP23",0.179,0.179,0.48,2,0.48,0.71,33,0.597,0.597,5,33,0,0,18.18,1,1,3,2,4,4,9,27,8,0.3,9,12,27.27,0.413,NA,NA,"YBR047W",331833,2
"FMP25",0.46,0.46,-0.201,2,-0.201,0.81,12,NA,0.115,1,8,0,0,0,0,1,0,0,3,0,1,5,0,0,2,4,16.67,0.963,NA,NA,"YLR077W",283872,12
"FMP27",0.317,0.317,-0.16,2,-0.16,0.65,30,NA,0.389,7,24,3,10,0,0,0,1,4,0,1,3,10,0,0,10,9,33.33,1.4,NA,NA,"YLR454W",1043998,12
"FMP30",0.361,0.361,-0.076,2,-0.076,0.69,16,NA,0.21,2,9,0,0,11.11,1,0,0,2,0,1,3,7,1,0.14,2,8,12.5,1.232,NA,NA,"YPL103C",-358000,16
"FMP32",0.802,0.802,-0.159,2,-0.159,0.84,15,NA,0.115,3,13,0,0,7.69,0,0,2,0,1,1,4,10,1,0.1,2,6,13.33,1.023,NA,NA,"YFL046W",42815,6
"FMP33",0.092,0.092,0.034,2,0.034,0.76,35,NA,0.268,7,32,3,8.57,6.25,3,1,1,2,1,4,6,22,5,0.23,6,19,17.14,0.459,NA,NA,"YJL161W",117245,10
"FMP40",0.146,0.146,-0.124,2,-0.124,0.75,39,0.597,0.597,12,38,11,28.21,2.63,0,1,2,2,4,2,0,15,2,0.13,9,21,23.08,0.447,NA,NA,"YPL222W",130162,16
"FMP41",0.86,0.86,-0.091,2,-0.091,0.75,16,1.705,1.705,3,11,0,0,0,0,0,0,2,0,0,2,6,0,0,2,8,12.5,0.995,NA,NA,"YNL168C",-318030,14
"FMP45",0.069,0.069,-0.437,2,-0.437,0.66,43,1.395,1.395,9,43,4,9.3,53.49,5,5,2,2,3,7,9,35,24,0.69,18,22,41.86,0.383,NA,NA,"YDL222C",-60872,4
"FMP46",5.057,5.057,-0.095,2,-0.095,0.8,34,NA,0.26,8,33,1,2.94,9.09,0,1,0,3,0,4,3,16,3,0.19,8,16,23.53,0.609,NA,NA,"YKR049C",-526830,11
"FMP48",1.162,1.162,0.024,2,0.024,0.38,46,0.996,1.395,17,44,14,30.43,27.27,2,2,1,5,3,5,6,27,12,0.44,11,20,23.91,0.323,NA,NA,"YGR052W",593596,7
"FMP52",4.724,4.724,-0.081,2,-0.081,0.63,19,NA,0.406,4,15,0,0,6.67,1,1,2,2,2,1,6,15,2,0.13,5,13,26.32,0.682,NA,NA,"YER004W",159580,5
"FMS1",0.63,0.63,0.049,2,0.049,0.77,32,1.55,1.705,2,27,4,12.5,3.7,0,0,0,0,3,1,3,13,4,0.31,10,14,31.25,0.781,NA,NA,"YMR020W",315377,13
"FMT1",0.423,0.423,0.106,2,0.106,0.75,15,NA,0.137,4,13,0,0,7.69,0,0,1,1,3,3,2,11,2,0.18,2,7,13.33,0.519,NA,NA,"YBL013W",202056,2
"FOB1",0.647,0.647,-0.03,2,-0.03,0.73,12,0.597,0.597,4,2,0,0,0,2,1,1,0,3,0,2,9,0,0,0,4,0,1.434,NA,NA,"YDR110W",676102,4
"FOL1",1.522,1.522,-0.005,2,-0.005,0.74,33,0.597,0.597,4,29,6,18.18,3.45,1,0,2,0,0,0,2,9,3,0.33,10,17,30.3,1.168,NA,NA,"YNL256W",164623,14
"FOL2",4.259,4.259,-0.065,2,-0.065,0.73,27,0.597,0.597,7,26,0,0,7.69,0,3,1,1,0,4,2,15,2,0.13,6,11,22.22,1.529,0,1,"YGR267C",-1025004,7
"FOL3",0.85,0.85,-0.102,2,-0.102,0.75,17,NA,0.403,4,12,0,0,0,0,1,0,1,1,0,0,5,0,0,2,6,11.76,0.954,0,1,"YMR113W",494999,13
"FOX2",0.194,0.194,-0.119,2,-0.119,0.64,32,NA,0.26,9,30,6,18.75,10,0,0,1,3,1,3,1,16,3,0.19,2,15,6.25,0.51,NA,NA,"YKR009C",-454352,11
"FPK1",0.508,0.508,-0.153,2,-0.153,0.77,18,NA,0.26,6,16,0,0,6.25,2,0,1,0,0,1,3,7,3,0.43,4,5,22.22,1.461,NA,NA,"YNR047W",708523,14
"FPR1",20.952,20.952,-0.083,2,-0.083,0.72,27,NA,0.224,3,24,1,3.7,0,0,0,0,1,0,1,0,4,0,0,4,13,14.81,0.912,0,1,"YNL135C",-371882,14
"FPR2",2.292,2.292,-0.072,2,-0.072,0.72,19,NA,0.21,1,13,0,0,0,1,1,1,0,0,2,7,13,1,0.08,2,5,10.53,1.089,0,1,"YDR519W",1480425,4
"FPR3",15.025,15.025,-0.124,2,-0.124,0.75,15,0.597,0.597,1,10,0,0,20,3,0,0,1,0,1,0,5,2,0.4,2,4,13.33,1.711,0,1,"YML074C",-120089,13
"FPS1",1.36,1.36,0.218,2,0.218,0.69,14,NA,0.115,3,11,0,0,0,0,1,0,0,1,2,2,8,0,0,3,6,21.43,1.439,0,1,"YLL043W",49938,12
"FRA1",1.343,1.343,-0.093,2,-0.093,0.64,19,NA,0.115,6,14,2,10.53,0,0,2,0,0,1,1,1,8,1,0.12,0,10,0,1.366,NA,NA,"YLL029W",81461,12
"FRA2",3.545,3.545,-0.139,2,-0.139,0.84,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.844,NA,NA,"YGL220W",82374,7
"FRD1",2.929,2.929,0.026,2,0.026,0.67,25,NA,0.268,8,21,1,4,28.57,3,1,0,4,2,1,5,19,7,0.37,3,14,12,0.657,NA,NA,"YEL047C",-65385,5
"FRE1",3.829,3.829,0.272,2,0.272,0.69,45,0.996,1.395,7,45,6,13.33,15.56,2,1,6,0,2,3,2,19,11,0.58,13,25,28.89,1.122,NA,NA,"YLR214W",568567,12
"FRE2",0.065,0.065,0.055,2,0.055,0.79,28,NA,0.243,10,23,0,0,0,3,2,0,0,2,0,2,11,4,0.36,6,15,21.43,0.786,NA,NA,"YKL220C",-9091,11
"FRE3",0.153,0.153,0.921,1,0.921,0.77,47,1.395,1.395,7,43,2,4.55,0,1,1,2,1,0,1,2,10,0,0,17,17,36.17,0.92,NA,NA,"YOR381W",1055545,15
"FRE5",0.08,0.08,-0.087,2,-0.087,0.81,45,0.996,1.395,10,42,6,14.29,2.38,1,1,0,3,0,2,0,9,1,0.11,15,21,33.33,1.405,NA,NA,"YOR384W",1061564,15
"FRE6",0.927,0.927,-0.117,2,-0.117,0.75,27,NA,0.26,8,27,0,0,7.41,1,1,1,1,0,2,1,13,2,0.15,6,14,22.22,1.179,NA,NA,"YLL051C",-37333,12
"FRE7",0.047,0.047,0.493,2,0.493,0.67,37,1.151,1.705,9,35,0,0,2.86,1,1,1,1,1,2,2,13,1,0.08,11,12,29.73,0.82,NA,NA,"YOL152W",40748,15
"FRK1",0.79,0.79,0.211,2,0.211,0.71,23,NA,0.268,4,17,7,30.43,11.76,2,1,2,4,1,0,0,13,4,0.31,2,9,8.7,1.358,NA,NA,"YPL141C",-283464,16
"FRQ1",2.581,2.581,-0.086,2,-0.086,0.74,25,0.597,0.597,1,22,0,0,9.09,0,5,2,1,3,1,2,16,3,0.19,6,10,24,1.422,0,1,"YDR373W",1222759,4
"FRS1",7.621,7.621,-0.081,2,-0.081,0.8,34,0.597,0.597,2,34,4,11.76,26.47,4,1,2,2,6,1,1,19,10,0.53,10,17,29.41,1.595,0,1,"YLR060W",260979,12
"FRS2",4.515,4.515,-0.102,2,-0.102,0.52,30,0.597,0.597,2,28,0,0,14.29,0,3,0,1,2,1,9,19,5,0.26,8,19,26.67,1.183,NA,NA,"YFL022C",-93499,6
"FRT1",0.949,0.949,-0.092,2,-0.092,0.63,58,NA,0.472,21,57,19,32.76,15.79,7,2,0,1,3,1,2,20,9,0.45,19,22,32.76,1.396,NA,NA,"YOR324C",-923232,15
"FSF1",5.861,5.861,-0.084,2,-0.084,0.63,20,0.597,0.597,4,16,0,0,0,0,0,1,0,2,0,0,5,0,0,2,9,10,0.986,NA,NA,"YOR271C",-831059,15
"FSH1",5.429,5.429,-0.092,2,-0.092,0.76,41,0.996,1.395,3,40,2,4.88,15,4,0,5,1,5,0,4,22,6,0.27,14,17,34.15,0.981,0,1,"YHR049W",206462,8
"FSH2",1.226,1.226,-0.055,2,-0.055,0.76,23,NA,0.12,1,15,4,18.18,0,0,0,1,0,1,1,0,8,1,0.12,3,10,13.04,0.82,0,1,"YMR222C",-715638,13
"FSH3",0.771,0.771,-0.134,2,-0.134,0.74,20,0.597,0.597,3,17,0,0,0,1,1,0,0,1,0,0,4,0,0,2,7,10,0.587,NA,NA,"YOR280C",-844992,15
"FTH1",1.775,1.775,-0.107,2,-0.107,0.77,28,0.597,0.597,6,25,0,0,36,1,0,0,1,6,3,6,23,14,0.61,7,12,25,1.255,0,1,"YBR207W",635146,2
"FTR1",4.887,4.887,0.033,2,0.033,0.52,46,0.597,0.597,10,46,12,26.09,54.35,3,3,7,2,5,7,3,33,26,0.79,19,23,41.3,0.625,0,1,"YER145C",-460526,5
"FUB1",0.387,0.387,0.174,2,0.174,0.8,19,NA,0.26,3,16,0,0,12.5,1,4,5,0,1,1,3,17,2,0.12,2,9,10.53,0.798,NA,NA,"YCR076C",-249293,3
"FUI1",0.936,0.936,-0.001,2,-0.001,0.45,44,NA,0.26,16,42,2,4.55,42.86,3,5,5,1,3,8,7,34,24,0.71,17,18,38.64,1.174,1,0,"YBL042C",-138341,2
"FUM1",2.538,2.538,-0.004,2,-0.004,0.68,31,NA,0.472,8,30,2,6.45,10,1,1,3,1,4,3,1,15,5,0.33,11,17,35.48,0.947,1,0,"YPL262W",47336,16
"FUN12",20.722,20.722,-0.104,2,-0.104,0.76,17,NA,0.26,4,10,0,0,30,1,1,0,3,1,3,7,16,4,0.25,0,4,0,1.885,0,1,"YAL035W",76427,1
"FUN14",0.733,0.733,-0.109,2,-0.109,0.76,22,1.705,1.705,3,19,0,0,47.37,0,1,0,2,2,6,6,19,13,0.68,4,12,18.18,0.5,NA,NA,"YAL008W",136914,1
"FUN19",0.589,0.589,-0.097,2,-0.097,0.81,25,0.597,0.597,7,21,5,20,19.05,2,2,0,1,2,8,5,20,13,0.65,5,13,20,1.235,NA,NA,"YAL034C",-80710,1
"FUN26",1.279,1.279,-0.094,2,-0.094,0.77,38,1.395,1.395,11,38,9,23.68,28.95,3,2,4,1,6,5,5,29,12,0.41,15,16,39.47,0.866,NA,NA,"YAL022C",-108877,1
"FUR1",6.903,6.903,-0.074,2,-0.074,0.77,26,0.597,0.597,0,24,2,7.69,4.17,2,2,0,3,2,0,2,14,1,0.07,6,7,23.08,1.562,NA,NA,"YHR128W",362115,8
"FUR4",0.26,0.26,0.228,2,0.228,0.6,29,NA,0.26,3,26,1,3.45,65.38,1,3,2,3,2,1,13,28,20,0.71,2,17,6.9,1.15,NA,NA,"YBR021W",281443,2
"FYV10",0.289,0.289,-0.141,2,-0.141,0.76,24,NA,0.26,7,20,2,8.33,15,0,1,2,2,8,1,3,18,16,0.89,3,16,12.5,1.036,NA,NA,"YIL097W",180427,9
"FYV4",0.568,0.568,-0.084,2,-0.084,0.83,14,NA,0.115,0,10,0,0,0,0,0,1,0,1,1,1,6,0,0,0,3,0,0.592,0,1,"YHR059W",220108,8
"FYV6",0.498,0.498,-0.199,2,-0.199,0.67,17,NA,0.12,4,11,0,0,0,0,2,0,0,2,1,1,9,0,0,0,9,0,0.649,NA,NA,"YNL133C",-374171,14
"FYV7",3.247,3.247,0.066,2,0.066,0.81,42,NA,0.472,5,42,3,7.14,9.52,1,1,2,5,0,2,5,19,4,0.21,16,27,38.1,1.731,0,1,"YLR068W",271008,12
"FYV8",0.499,0.499,-0.178,2,-0.178,0.76,20,0.597,0.597,4,15,0,0,13.33,1,2,0,0,0,0,6,12,5,0.42,2,9,10,1.438,NA,NA,"YGR196C",-889733,7
"FZF1",18.909,18.909,0.014,2,0.014,0.82,15,NA,0.26,4,11,0,0,0,0,2,2,0,0,0,1,5,0,0,2,4,13.33,0.756,NA,NA,"YGL254W",22304,7
"FZO1",0.289,0.289,-0.169,2,-0.169,0.63,19,NA,0.204,2,14,0,0,0,0,1,0,2,3,3,2,14,1,0.07,2,9,10.53,1.318,0,1,"YBR179C",-586547,2
"GAA1",1.213,1.213,-0.031,2,-0.031,0.75,22,0.597,0.597,1,17,6,27.27,11.76,3,2,0,1,3,0,0,11,4,0.36,8,7,36.36,1.225,0,1,"YLR088W",316107,12
"GAB1",0.931,0.931,-0.01,2,-0.01,0.65,25,0.597,0.597,6,24,2,8,4.17,2,4,1,1,1,1,0,13,2,0.15,7,8,28,1.195,NA,NA,"YLR459W",1057334,12
"GAC1",0.111,0.111,-0.236,2,-0.236,0.39,33,NA,0.25,8,29,8,24.24,34.48,0,1,5,3,2,0,4,16,13,0.81,9,17,27.27,0.907,NA,NA,"YOR178C",-667860,15
"GAD1",0.651,0.651,0.574,1,0.574,0.78,67,1.705,1.705,16,66,8,12.12,7.58,1,4,3,2,3,4,1,23,6,0.26,26,32,38.81,0.605,1,0,"YMR250W",770801,13
"GAL1",0.074,0.074,-0.064,2,-0.064,0.58,32,NA,0.472,5,26,2,6.25,50,2,1,5,4,2,5,9,29,19,0.66,7,17,21.88,0.89,NA,NA,"YBR020W",279021,2
"GAL11",0.857,0.857,-0.13,2,-0.13,0.63,26,NA,0.26,5,23,2,7.69,0,1,1,0,0,0,2,1,7,0,0,2,8,7.69,1.435,0,1,"YOL051W",234940,15
"GAL2",0.459,0.459,0.427,2,0.427,0.58,38,NA,0.26,4,37,1,2.63,18.92,2,3,2,4,1,6,0,20,8,0.4,13,18,34.21,0.501,NA,NA,"YLR081W",290212,12
"GAL4",0.037,0.037,-1.155,3,-1.155,0.78,20,NA,0.26,8,14,3,15,0,0,0,0,1,1,1,1,6,0,0,3,6,15,0.816,NA,NA,"YPL248C",-79711,16
"GAL80",1.213,1.213,0.033,2,0.033,0.83,21,NA,0.26,5,16,0,0,0,0,1,1,0,1,0,1,6,0,0,2,7,9.52,0.876,NA,NA,"YML051W",171594,13
"GAL83",1.629,1.629,-0.001,2,-0.001,0.73,19,NA,0.26,2,13,0,0,0,1,0,0,3,2,4,1,13,1,0.08,2,10,10.53,1.156,0,1,"YER027C",-208979,5
"GAP1",0.451,0.451,0.607,1,0.607,0.61,41,0.597,0.597,11,40,0,0,22.5,4,2,3,1,2,3,2,23,10,0.43,11,18,26.83,0.718,0,1,"YKR039W",515063,11
"GAR1",22.111,22.111,-0.064,2,-0.064,0.71,29,0.597,0.597,3,28,1,3.45,7.14,4,1,2,0,2,2,3,19,4,0.21,7,14,24.14,1.383,0,1,"YHR089C",-282681,8
"GAS1",17.217,17.217,0.145,2,0.145,0.51,30,0.597,0.597,2,30,3,10,3.33,0,4,0,0,1,1,2,10,1,0.1,7,10,23.33,1.479,NA,NA,"YMR307W",887003,13
"GAS3",1.551,1.551,0.487,2,0.487,0.8,70,0.597,0.597,5,69,14,20,17.39,2,1,3,3,1,3,3,28,16,0.57,29,32,41.43,1.141,0,0,"YMR215W",696796,13
"GAS4",0.023,0.023,0.67,1,0.67,0.82,25,NA,0.21,5,22,0,0,9.09,3,2,1,0,2,3,0,16,3,0.19,3,8,12,0.345,NA,NA,"YOL132W",71300,15
"GAS5",3.796,3.796,-0.056,2,-0.056,0.65,32,NA,0.472,5,32,3,9.38,9.38,3,0,0,0,1,4,1,12,3,0.25,9,15,28.12,1.497,0,1,"YOL030W",268187,15
"GAT1",0.593,0.593,0.26,2,0.26,0.51,34,1.151,1.705,6,33,4,11.76,15.15,3,0,4,3,4,3,4,23,7,0.3,7,24,20.59,1.1,1,0,"YFL021W",95966,6
"GAT2",0.322,0.322,0.257,2,0.257,0.37,49,0.996,1.395,12,49,5,10.2,20.41,1,2,2,2,5,6,5,24,13,0.54,23,22,46.94,1.193,NA,NA,"YMR136W",541199,13
"GBP2",3.216,3.216,-0.055,2,-0.055,0.83,14,0.597,0.597,6,7,0,0,0,0,1,1,2,0,2,4,11,2,0.18,2,4,14.29,1.488,0,1,"YCL011C",-102075,3
"GCD1",3.19,3.19,-0.077,2,-0.077,0.77,30,0.597,0.597,5,23,3,10,0,1,0,1,0,1,1,2,8,0,0,11,11,36.67,1.647,0,1,"YOR260W",813984,15
"GCD10",2.349,2.349,-0.113,2,-0.113,0.73,34,NA,0.403,1,33,0,0,3.03,2,1,1,0,1,0,1,9,1,0.11,10,17,29.41,1.356,0,1,"YNL062C",-508776,14
"GCD11",10.121,10.121,-0.125,2,-0.125,0.71,39,0.597,0.597,3,39,4,10.26,7.69,0,3,2,2,4,4,3,22,3,0.14,17,19,43.59,1.474,NA,NA,"YER025W",205251,5
"GCD14",1.732,1.732,0.007,2,0.007,0.72,6,NA,0.26,1,2,0,0,0,2,0,0,1,0,1,0,4,0,0,0,0,0,1.415,0,1,"YJL125C",-185528,10
"GCD2",3.021,3.021,-0.137,2,-0.137,0.8,16,NA,0.26,4,10,1,6.25,0,2,0,1,0,2,2,1,10,1,0.1,2,6,12.5,1.841,NA,NA,"YGR083C",-644860,7
"GCD6",2.096,2.096,-0.017,2,-0.017,0.55,23,NA,0.272,3,20,0,0,10,2,0,1,0,2,3,4,18,3,0.17,4,8,17.39,1.624,0,1,"YDR211W",884727,4
"GCD7",3.084,3.084,-0.032,2,-0.032,0.75,15,NA,0.26,1,8,0,0,0,0,1,0,0,0,1,0,6,1,0.17,4,5,26.67,1.348,0,1,"YLR291C",-718317,12
"GCG1",1.068,1.068,-0.124,2,-0.124,0.77,22,NA,0.268,7,19,2,9.09,0,2,1,1,3,2,1,3,16,1,0.06,4,12,18.18,0.943,NA,NA,"YER163C",-503084,5
"GCN1",1.823,1.823,-0.147,2,-0.147,0.76,16,0.597,0.597,1,10,0,0,0,0,0,1,2,1,2,1,7,0,0,2,8,12.5,1.558,0,1,"YGL195W",131525,7
"GCN2",0.874,0.874,-0.102,2,-0.102,0.73,14,NA,0.26,6,8,0,0,12.5,1,1,4,1,0,3,1,12,3,0.25,3,5,21.43,1.48,NA,NA,"YDR283C",-1025070,4
"GCN3",0.31,0.31,0.043,2,0.043,0.73,18,0.597,0.597,5,17,1,5.56,0,1,0,0,1,2,1,1,7,0,0,2,4,11.11,1.314,0,1,"YKR026C",-488738,11
"GCN4",12.111,12.111,-0.1,2,-0.1,0.51,21,NA,0.127,4,18,0,0,11.11,1,1,2,1,1,3,4,14,2,0.14,5,5,23.81,1.073,NA,NA,"YEL009C",-138918,5
"GCN5",0.675,0.675,-0.101,2,-0.101,0.78,11,NA,0.054,2,4,0,0,25,0,1,0,1,2,0,3,9,1,0.11,0,4,0,1.458,0,1,"YGR252W",996869,7
"GCR1",0.562,0.562,0.192,2,0.192,0.54,45,NA,0.403,4,44,13,28.89,0,2,2,1,3,2,2,1,18,0,0,12,19,26.67,0,1,0,"YPL075W",412254,16
"GCS1",2.801,2.801,-0.218,2,-0.218,0.71,20,0.597,0.597,5,18,0,0,11.11,1,1,3,1,0,1,3,15,3,0.2,4,9,20,1.675,0,1,"YDL226C",-51115,4
"GCV2",0.661,0.661,0.199,2,0.199,0.7,60,1.395,1.395,7,58,8,13.33,1.72,1,0,3,1,3,2,3,18,3,0.17,17,26,28.33,0.906,1,0,"YMR189W",637500,13
"GCV3",3.222,3.222,0.031,2,0.031,0.83,42,1.395,1.395,4,41,9,21.43,68.29,1,4,2,1,4,7,15,38,37,0.97,13,18,30.95,0.599,1,0,"YAL044C",-57950,1
"GCY1",0.428,0.428,1.532,1,1.532,0.7,38,NA,0.268,6,36,3,7.89,2.78,1,0,2,2,2,3,1,14,2,0.14,8,23,21.05,0.929,1,0,"YOR120W",551114,15
"GDA1",3.073,3.073,-0.044,2,-0.044,0.78,26,0.597,0.597,3,26,1,3.85,26.92,1,1,0,2,2,4,5,21,7,0.33,10,16,38.46,1.46,0,1,"YEL042W",73771,5
"GDB1",0.192,0.192,-0.222,2,-0.222,0.77,37,0.597,0.597,13,37,12,32.43,2.7,1,1,2,0,0,7,1,14,3,0.21,8,18,21.62,0.728,1,0,"YPR184W",902044,16
"GDE1",0.284,0.284,-0.204,2,-0.204,0.71,30,0.597,0.597,5,30,4,13.33,0,1,0,0,1,4,1,2,11,2,0.18,6,13,20,1.119,NA,NA,"YPL110C",-341068,16
"GDH1",7.418,7.418,0.164,2,0.164,0.58,51,0.597,0.597,13,50,5,9.8,8,3,4,2,2,2,1,0,19,4,0.21,24,27,47.06,1.104,0,1,"YOR375C",-1041678,15
"GDH2",0.448,0.448,-0.194,2,-0.194,0.68,34,NA,0.406,6,33,6,17.65,24.24,1,0,4,4,1,6,7,26,12,0.46,14,21,41.18,1.462,NA,NA,"YDL215C",-70640,4
"GDI1",4.137,4.137,-0.125,2,-0.125,0.51,22,0.597,0.597,6,20,0,0,5,1,2,1,1,1,2,3,13,2,0.15,2,8,9.09,1.395,0,1,"YER136W",439616,5
"GDS1",1.303,1.303,0.198,2,0.198,0.57,32,0.597,0.597,6,31,5,15.62,3.23,1,2,0,1,0,4,0,11,2,0.18,14,14,43.75,1.401,NA,NA,"YOR355W",1005137,15
"GDT1",3.751,3.751,-0.049,2,-0.049,0.57,40,0.597,0.597,3,40,3,7.5,35,3,0,0,5,4,7,8,30,14,0.47,20,16,50,1.286,NA,NA,"YBR187W",602634,2
"GEA1",0.368,0.368,-0.108,2,-0.108,0.8,9,NA,0.115,2,0,0,0,0,0,0,0,0,0,2,1,3,1,0.33,0,5,0,1.323,0,1,"YJR031C",-486586,10
"GEF1",0.686,0.686,-0.07,2,-0.07,0.71,9,NA,0.115,0,6,0,0,0,0,0,0,0,3,1,1,5,1,0.2,0,0,0,1.009,NA,NA,"YJR040W",507746,10
"GEM1",0.478,0.478,-0.172,2,-0.172,0.77,15,0.597,0.597,3,6,0,0,16.67,1,1,0,0,3,3,5,13,7,0.54,0,11,0,1.042,NA,NA,"YAL048C",-52801,1
